SPCD,n_stands,qr_intercept,qr_slope,qr_sdimax_10,reineke_sdimax
17,117,10.308027494384794,-1.7547004514091824,527.2529383414369,615.4057938357647
19,949,10.47422266258317,-1.9078352516325596,437.5844222326481,739.3854262385022
66,250,9.87290922771014,-1.7876293605758435,316.3156192600638,428.4199505373014
73,368,9.899246764352851,-1.6647786221130223,430.93287087381896,731.9185647779751
93,685,10.281306586325362,-1.7905705838910384,472.65486597230966,636.901376254948
101,334,10.605803276257607,-1.9034676823841106,504.1666992192685,741.5643200270372
108,1881,10.537399861349831,-1.9311670984660783,441.74080159801287,740.6824042925427
113,64,10.587255518683751,-2.0837356481204927,326.7766394047476,498.6604099731633
122,859,9.91654577747219,-1.796132814067956,324.01737301188814,501.8653106329418
202,2961,10.290926684272097,-1.843837781014453,422.138431008383,661.390117677771
242,113,10.009563590662259,-1.5179837849470044,674.7058081146563,682.5160384450304
263,38,9.931273888335319,-1.5607836633754713,565.3452981602424,549.5943238163064
264,46,9.639532354036064,-1.3107716350006224,750.9725703761812,665.4924092952302
746,84,10.498682951714649,-2.161760823225861,249.89596856958312,455.57754486788957
