SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
17,117,242.3929395833752,259.61744806469966,277.863758352106,299.3480659388988,138.42244617735315,259.61744806469966,NA,0.8,0.19999999999999996,259.61744806469966
19,949,209.8540782926527,226.61921542207966,241.61557029206142,294.4269646449714,117.32229757530844,226.61921542207966,NA,0.8,0.19999999999999996,226.61921542207966
66,250,138.21518857301615,152.69115774389587,177.1084213235066,211.639743,70.37213722031842,152.69115774389587,NA,0.8,0.19999999999999996,152.69115774389587
73,368,201.65329597372886,218.52452286549732,245.84212608314996,301.7757658970781,110.51668506974123,218.52452286549732,NA,0.8,0.19999999999999996,218.52452286549732
93,685,238.1887780475165,245.55233815984923,274.17893824493507,366.6457415194603,134.63186085897235,245.55233815984923,NA,0.8,0.19999999999999996,245.55233815984923
101,334,243.50549192647978,262.8142268198002,277.04843293069956,331.3010599822235,123.75987082363706,262.8142268198002,NA,0.8,0.19999999999999996,262.8142268198002
108,1881,218.77354652259345,235.19546507596067,272.46428632818277,305.90586975135113,123.29877467609604,235.19546507596067,310,0.8,0.19999999999999996,250.15637206076855
113,64,181.20177227080575,189.48882432090522,196.51245211118905,203.7801308816158,87.32805433921212,189.48882432090522,NA,0.64,0.36,189.48882432090522
122,859,146.37046722262664,169.2904246126179,202.1566307362363,261.08787507408,77.96296220446581,169.2904246126179,310,0.8,0.19999999999999996,197.4323396900943
202,2961,208.35477112225897,222.43294571750897,258.8037520275337,332.1446985573469,111.00239630357284,222.43294571750897,250,0.8,0.19999999999999996,227.94635657400715
242,113,284.7941226513778,310.9379336980497,449.23802803208804,486.89375875906313,165.02092816455706,310.9379336980497,270,0.8,0.19999999999999996,302.75034695843976
263,38,320.59640406675766,347.4114896144929,368.3823221021556,378.3575257772504,189.4325663647259,347.4114896144929,240,0.38,0.62,280.8163660535073
264,46,294.77164714863744,311.20521383160974,325.5305056974778,331.4285853964794,165.7984680029397,311.20521383160974,NA,0.46,0.54,311.20521383160974
745,21,207.7780125144697,211.4475233304857,215.11703414650168,216.95178955450965,99.41068891446847,211.4475233304857,NA,0.21,0.79,211.4475233304857
746,84,149.2130112168444,151.04188273142057,157.16838577115584,163.71603399894877,76.91152980348328,151.04188273142057,NA,0.8,0.19999999999999996,151.04188273142057
747,27,147.08817546267937,156.17417345014317,173.55419481258642,182.2442054938081,90.97445207356319,156.17417345014317,NA,0.27,0.73,156.17417345014317
